name,city,ip,score,comment_time,goods_type,comment
星语心愿,北京,112.34.56.78,5,2025/1/15 10:23,数码配件,这款手机壳手感细腻，防摔性能出色，完美贴合手机，物流速度也超快，非常满意！
紫陌红尘,上海,180.158.22.91,2,2025/2/3 14:45,服装鞋帽,衣服做工粗糙，线头到处都是，颜色与图片严重不符，料子也很廉价，非常失望！
暗夜蔷薇,广州,113.108.89.42,4,2025/3/10 18:30,家居用品,收纳盒质量不错，没有异味，尺寸刚好，就是快递包装有点简陋，总体满意。
清风明月,深圳,121.35.67.102,1,2025/1/22 9:12,电子产品,耳机有严重杂音，续航时间极短，客服态度恶劣，完全不值这个价钱，差评！
暗夜星辰,成都,171.212.33.77,5,2025/4/5 20:15,食品饮料,这款零食味道惊艳，包装精美，分量十足，每一口都让人回味无穷，强烈推荐！
糖心可可,杭州,36.28.104.55,3,2025/2/28 11:50,运动户外,跑鞋穿着还算舒适，但鞋底偏硬，长时间跑步会有点不适，性价比一般。
独行剑客,南京,49.74.88.63,4,2025/5/12 16:20,美妆护肤,粉底液质地细腻，遮瑕效果不错，就是色号选择有点少，总体是好用的。
暗夜蔷薇,武汉,27.18.203.44,2,2025/3/25 13:10,母婴用品,奶瓶消毒器噪音大得吓人，消毒效果也一般，按键反应迟钝，不推荐购买。
阳光雨季,重庆,106.85.129.31,5,2025/4/22 10:10,家具家电,空气炸锅操作简单，加热均匀，做出的食物外酥里嫩，清洁也很方便，太棒了！
冰雪聪明,西安,117.36.75.24,1,2025/5/8 22:50,食品饮料,巧克力收到时已经融化变形，口感黏腻难吃，包装也很简陋，完全不能接受！
沙漠之鹰,苏州,58.210.45.96,4,2025/1/8 19:40,运动户外,帐篷搭建方便，防水性能出色，经受住了大雨考验，就是重量稍重一些。
小迷糊,天津,60.29.111.33,3,2025/2/14 13:40,服装鞋帽,外套款式不错，但料子偏薄，保暖性一般，这个价格应该可以做得更好。
蓝海之梦,青岛,119.166.55.12,5,2025/3/18 7:30,数码配件,移动硬盘传输速度飞快，外观精致小巧，抗震性能好，数据存储安全可靠。
冰雪聪明,长沙,175.10.88.66,2,2025/4/12 19:45,家居用品,置物架材质单薄，安装后摇晃不稳，螺丝孔对不齐，质量太差了！
冰雪聪明,郑州,42.236.99.77,4,2025/5/20 14:15,美妆护肤,面膜精华液充足，敷后皮肤水润透亮，就是香味有点浓，总体效果不错。
甜心薄荷,宁波,115.198.22.45,1,2025/6/5 20:25,母婴用品,婴儿背带设计不合理，宝宝坐着不舒服，布料也很粗糙，完全不能用！
冰雪奇缘,合肥,117.68.33.90,5,2025/1/25 16:30,食品饮料,这款咖啡豆香气浓郁，研磨后油脂丰富，冲泡出来的咖啡口感醇厚完美！
冰雪奇缘,福州,59.56.78.123,3,2025/2/22 11:35,运动户外,瑜伽垫防滑效果尚可，但厚度不够，做某些动作时会觉得有点硌。
冰雪奇缘,哈尔滨,113.56.44.78,4,2025/3/15 21:05,家具家电,电饭煲功能齐全，煮饭速度快，就是内胆有点小，适合小家庭使用。
风铃草语,昆明,116.52.67.89,2,2025/4/8 10:55,服装鞋帽,裤子洗一次就严重缩水，根本无法再穿，卖家还不承认是质量问题！
墨染青衫,沈阳,175.168.12.34,5,2025/5/25 14:10,电子产品,这款平板电脑性能强劲，屏幕显示效果惊艳，续航时间长，物超所值！
风铃草语,济南,124.128.56.78,1,2025/6/10 9:20,家居用品,买的窗帘色差巨大，布料薄如蝉翼，遮光效果极差，完全不能用！
风之韵律,南宁,116.208.77.99,4,2025/1/12 22:05,美妆护肤,口红颜色漂亮，滋润不拔干，持久度也不错，就是包装有点简单。
珍珠海洋,大连,42.88.156.33,3,2025/2/10 16:25,母婴用品,婴儿床安装有点复杂，木头有毛刺需要自己打磨，但总体还算稳固。
风之韵律,石家庄,110.250.88.77,5,2025/3/28 16:20,食品饮料,这款坚果新鲜饱满，每一颗都很完整，口感香脆，包装密封性好！
孤独旅人,长春,122.137.66.55,2,2025/4/15 12:25,运动户外,登山鞋磨脚严重，走了不到一公里就起水泡，鞋底也很滑，危险！
孤独旅人,太原,110.180.33.44,4,2025/5/18 13:40,数码配件,键盘手感舒适，按键反应灵敏，背光效果酷炫，就是声音有点大。
孤独旅人,南昌,106.224.88.12,1,2025/6/1 18:50,家居用品,花瓶收到时已经碎了，包装极其简陋，卖家还不愿意承担责任！
琉璃世界,海口,112.66.99.45,5,2025/1/20 21:15,美妆护肤,这款精华液吸收快不黏腻，用了一周皮肤明显提亮，细纹也减少了！
孤狼传说,贵阳,111.85.77.33,3,2025/2/17 15:35,母婴用品,温奶器加热速度可以，但温度显示不准确，需要自己多次测试。
糖糖兔,兰州,118.180.55.66,4,2025/3/5 15:40,家具家电,吸尘器吸力强劲，噪音小，收纳方便，就是尘盒容量有点小。
孤狼传说,银川,36.103.88.99,2,2025/4/2 11:55,服装鞋帽,毛衣起球严重，穿两次就变形，完全不像描述说的那样高品质！
孤狼传说,西宁,125.77.33.44,5,2025/5/15 8:30,电子产品,蓝牙耳机音质纯净，降噪效果出众，佩戴舒适稳固，续航超长！
寒梅映雪,拉萨,113.135.66.77,1,2025/6/8 19:20,家居用品,买的茶几边角有磕碰，漆面脱落，明显是二手翻新货，太坑了！
蓝莲花开,呼和浩特,110.166.88.12,4,2025/1/28 10:25,美妆护肤,眼影盘颜色漂亮，粉质细腻好上色，就是有点飞粉，总体不错。
寒梅映雪,乌鲁木齐,120.70.55.33,3,2025/2/26 17:05,母婴用品,婴儿车推起来顺滑，就是遮阳棚太小，夏天可能不够用。
火凤凰舞,珠海,113.44.88.66,5,2025/3/22 17:40,数码配件,无线充电器充电速度惊人，设计时尚简约，手机放上去就能精准定位，太方便了！
火凤凰舞,中山,119.130.77.44,2,2025/4/29 9:55,运动户外,泳镜漏水严重，根本不能用，卖家还说是使用不当，太气人了！
火凤凰羽,温州,115.220.66.55,4,2025/5/22 7:15,家具家电,电风扇风力强劲，噪音小，就是高度调节有点紧，总体满意。
风之轨迹,南通,117.88.33.12,1,2025/6/3 11:05,服装鞋帽,裙子做工粗糙，拉链卡顿，线头到处都是，完全不像新品！
月光宝盒,徐州,112.90.77.33,5,2025/1/10 12:40,数码配件,充电宝容量大，充电速度快，外观时尚轻薄，出行必备神器！
火凤凰羽,烟台,119.180.55.44,3,2025/2/20 14:15,家居用品,沙发坐感舒适，就是颜色比图片暗一些，尺寸也有点偏小。
玫瑰人生,佛山,113.120.88.66,4,2025/3/3 21:30,服装鞋帽,连衣裙面料粗糙扎人，版型完全走样，穿上像个麻袋，简直浪费钱！
夜影无痕,泉州,110.88.77.99,2,2025/4/25 10:55,母婴用品,奶瓶刷没用几次就掉毛，清洁效果差，还可能被宝宝误食！
蓝莲绽放,保定,121.30.66.55,5,2025/5/30 9:10,食品饮料,这款火腿咸香适中，肉质紧实，切片后纹理漂亮，配酒绝佳！
蓝莲绽放,惠州,116.10.88.12,3,2025/6/7 12:25,运动户外,登山包背负系统还行，就是肩带有点磨，长途徒步不太舒服。
蓝莲绽放,台州,122.230.55.77,4,2025/1/18 11:20,家具家电,微波炉加热均匀，操作简单，就是按键声音有点大，总体不错。
紫微星动,扬州,117.25.66.88,1,2025/2/24 13:15,服装鞋帽,鞋子穿一天就开胶，鞋底硬得像木板，走路脚疼，千万别买！
星辰大海,桂林,111.15.88.33,5,2025/3/16 14:50,电子产品,智能手表功能全面，心率监测准确，续航给力，完美替代手机！
紫月幽魔,哈尔滨,183.90.23.45,4,2025/2/20 15:45,数码配件,这款手机壳做工精致，手感细腻，防摔效果出众，完美贴合手机，物流速度也超快！
