id,content,target
1,【中国银行】您的账户存在安全风险，请立即登录链接：www.boc-verify.com链接验证身份,诈骗
2,【微信支付】您的账户异常，需重新认证，登录链接：http://wx.pay-safe.com链接完成验证,诈骗
3,【京东金融】您有56800元额度待领取，登录链接：http://jdjr-credit.com链接 立即申请,诈骗
4,【中国移动】您已成功充值100元，当前余额150元。感谢您的使用。,非诈骗
5,【教育局】您孩子的助学金已到账，请登录链接：www.edu-grant.com链接 领取,诈骗
6,【支付宝】您的花呗额度可提升至88000元，登录链接：http://huabei-up.com链接 立即申请,诈骗
7,【美团】您的外卖订单预计10分钟后送达，骑手：张师傅，电话：138****1234,非诈骗
8,【中国银联】您的账户存在异常消费，请登录链接：unionpay-secure.com链接 核实,诈骗
9,【抖音】恭喜您获得创作者奖励金1288元！点击领取链接：http://douyin-reward.com链接,诈骗
10,【社保中心】您的社保卡即将停用，请登录链接：www.shebao-renew.com链接 更新信息,诈骗
11,【中国工商银行】您尾号1234的储蓄卡于14:20转账支出500元，余额3200元。,非诈骗
12,【拼多多】您获得双十一专属红包200元！点击领取链接：http://pdd-coupon.com链接,诈骗
13,【航空公司】您的航班CA1234因机械故障取消，请拨打400-123-4567办理退改签,诈骗
14,【顺丰速运】您的快递SF987654321已签收，签收人：本人。感谢使用顺丰服务。,非诈骗
15,【微粒贷】您有30000元免息额度待领取，登录链接：http://weilidai-credit.com链接,诈骗
16,【国家电网】您的电费账户异常，请登录链接：www.sgcc-pay.com链接 核实信息,诈骗
17,【中国联通】您本月套餐内通话分钟已使用90%，剩余30分钟，有效期至月底。,非诈骗
18,【淘宝】您有一笔订单支付失败，请登录链接：taobao-payment.com链接 重新支付,诈骗
19,【建设银行】您的信用卡存在风险交易，请登录链接：ccb-secure.com链接 解除限制,诈骗
20,【铁路12306】您预订的D123次列车将于明日08:30发车，请提前1小时到站。,非诈骗
21,【医保局】您的医保账户异常，请登录链接：www.yibao-check.com链接 更新信息,诈骗
22,【京东】您的订单支付异常，请登录链接：jd-pay.com链接 重新验证支付信息,诈骗
23,【微信】验证码：4567，用于修改密码，5分钟内有效。请勿告知他人。,非诈骗
24,【中国移动】您的积分即将清零，请登录链接：10086-reward.com链接 兑换礼品,诈骗
25,【支付宝】您的账户存在风险，请登录链接：alipay-secure.com链接 解除限制,诈骗
26,【中国农业银行】您尾号5678的信用卡本期账单已出，还款金额1200元，到期日25日。,非诈骗
27,【抖音商城】恭喜您获得新人专享红包300元！点击领取链接：http://douyin-shop.com链接,诈骗
28,【快递通知】您的包裹派送失败，请登录链接：www.kuaidi-resend.com链接 重新安排,诈骗
29,【中国电信】您已成功办理10元10GB流量包，立即生效，有效期30天。,非诈骗
30,【腾讯科技】您的QQ号被抽中为幸运用户，获得MacBook Pro一部！点击领取链接,诈骗
